host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
100%,100%,1,2,Entire home/apt,0,1,1,110,$25.00 ,$0.00 ,1,1125,1,38.89488572,-77.00118128,Washington,20002,DC
0%,0%,1,2,Private room,1,1,1,110,$20.00 ,$0.00 ,1,3,0,38.89613712,-76.97789266,Washington,20002,DC
100%,50%,1,2,Entire home/apt,1,1,1,110,$0.00 ,$0.00 ,3,30,1,38.91825224,-77.04283465,Washington,20009,DC
83%,100%,1,4,Entire home/apt,1,1,2,110,$25.00 ,$0.00 ,1,1125,1,38.91647711,-77.04300355,Washington,20009,DC
91%,100%,2,2,Private room,1,1,1,110,$0.00 ,$0.00 ,1,1125,10,38.91844917,-77.04339227,Washington,20009,DC
100%,60%,2,2,Entire home/apt,1,1,1,110,$60.00 ,$0.00 ,2,1125,8,38.92023009,-77.04120738,Washington,20009,DC
0%,0%,1,1,Private room,1,1,1,110,$0.00 ,$0.00 ,1,1125,0,38.92152462,-77.04198374,Washington,20009,DC
100%,0%,2,2,Entire home/apt,1,1,1,110,$0.00 ,$0.00 ,1,1125,38,38.92002124,-77.03827126,Washington,20009,DC
100%,70%,4,4,Entire home/apt,1,1,1,110,$50.00 ,$0.00 ,1,1125,57,38.9153338,-77.04746469,Washington,20008,DC
100%,100%,1,2,Entire home/apt,0,1,1,110,$0.00 ,$150.00 ,2,1125,14,38.91547964,-77.00768148,Washington,20002,DC
100%,67%,1,2,Entire home/apt,1,1,2,110,$25.00 ,$0.00 ,2,14,1,38.91164008,-77.00846782,Washington,20002,DC
93%,98%,2,3,Entire home/apt,1,1,2,110,$45.00 ,$0.00 ,1,1125,39,38.91003052,-77.01103904,"Washington, D.C.",20001,DC
90%,91%,4,4,Private room,1,1.5,2,110,$0.00 ,$0.00 ,2,1125,2,38.91694552,-77.00281136,Washington,20002,DC
93%,100%,1,2,Entire home/apt,1,1,1,110,$0.00 ,$0.00 ,2,1125,15,38.91123439,-77.01116253,Washington,20001,DC
0%,0%,1,2,Private room,1,1,1,110,$0.00 ,$0.00 ,2,1125,2,38.91256064,-77.01231713,Washington,20001,DC
90%,100%,1,4,Entire home/apt,1,1,2,110,$35.00 ,$250.00 ,4,1125,5,38.92719197,-76.99681555,Washington,20017,DC
94%,42%,1,2,Private room,1,2.5,1,110,$0.00 ,$0.00 ,1,1125,11,38.92031546,-77.01273454,Washington,20001,DC
100%,100%,1,4,Entire home/apt,1,1,2,110,$39.00 ,$0.00 ,2,1125,26,38.91030074,-77.01156452,Washington,20001,DC
75%,100%,1,4,Entire home/apt,1,1,1,110,$45.00 ,$250.00 ,2,1125,0,38.9349274,-77.02601257,Washington,20010,DC
93%,63%,1,3,Entire home/apt,0,1,2,110,$25.00 ,$100.00 ,2,31,1,38.93044142,-77.03816959,Washington,20010,DC
67%,0%,2,3,Entire home/apt,1,1,1,110,$40.00 ,$150.00 ,3,365,34,38.93149645,-77.04089492,Washington,20010,DC
80%,80%,2,2,Private room,1,1,1,110,$75.00 ,$0.00 ,1,1125,0,38.92133691,-77.03461786,Washington,20009,DC
100%,100%,1,4,Entire home/apt,1,1,2,110,$0.00 ,$0.00 ,3,20,15,38.92762019,-77.03913686,Washington,20009,DC
100%,67%,1,2,Entire home/apt,0,1,1,110,$50.00 ,$0.00 ,1,1125,8,38.93239884,-77.03810435,Washington,20010,DC
70%,86%,1,4,Entire home/apt,0,1,1,110,$70.00 ,$500.00 ,2,1125,7,38.92464294,-77.03559199,Washington,20009,DC
100%,100%,1,3,Entire home/apt,1,1,2,110,$85.00 ,$200.00 ,3,21,5,38.92245429,-77.03437269,Washington,20009,DC
100%,100%,1,2,Entire home/apt,0,1,1,110,$0.00 ,$0.00 ,2,30,3,38.92311687,-77.03405296,Washington,20009,DC
80%,80%,2,2,Private room,1,1,1,110,$30.00 ,$0.00 ,1,365,10,38.9244619,-77.03530832,Washington,20009,DC
0%,0%,1,2,Entire home/apt,0,1.5,1,110,$0.00 ,$0.00 ,1,1125,1,38.93400123,-77.03249856,Washington,20010,DC
100%,60%,2,2,Entire home/apt,1,1,1,110,$25.00 ,$0.00 ,1,1125,0,38.92676896,-76.98558562,Washington,20017,DC
100%,96%,1,4,Entire home/apt,1,1,2,110,$25.00 ,$0.00 ,2,1125,39,38.92895073,-76.99066461,Washington,20017,DC
98%,94%,41,2,Entire home/apt,0,1,1,110,$95.00 ,$300.00 ,3,1125,0,38.93734482,-77.08458593,Washington,20016,DC
100%,100%,1,2,Entire home/apt,0,1,1,110,,,1,1125,9,38.87986237,-76.99553886,Washington,20003,DC
,,1,2,Entire home/apt,1,1,1,110,$50.00 ,$400.00 ,5,21,1,38.88078144,-76.98766019,Washington,20003,DC
75%,75%,5,2,Private room,1,2,1,110,$50.00 ,$95.00 ,1,1125,1,38.88623633,-77.00043967,Washington,20003,DC
100%,100%,2,5,Entire home/apt,0,1,4,110,$150.00 ,$250.00 ,2,400,1,38.88433549,-77.00100906,Washington,20003,DC
100%,95%,2,4,Entire home/apt,1,1,1,110,$35.00 ,,2,1125,25,38.8912891,-76.98378283,Washington,20002,DC
70%,100%,1,3,Entire home/apt,0,1,1,110,$40.00 ,$200.00 ,2,1125,1,38.88364555,-76.99981026,Washington,20003,DC
100%,64%,1,2,Entire home/apt,1,1,1,111,$59.00 ,$150.00 ,1,1125,6,38.91188543,-77.01805205,Washington,20001,DC
100%,100%,1,3,Private room,1,1,1,111,$0.00 ,$0.00 ,1,1125,18,38.90204057,-77.04829811,Washington,20037,DC
80%,100%,1,1,Private room,1,1,1,111,$0.00 ,$0.00 ,1,1125,7,38.92833901,-77.0242419,Washington,20010,DC
0%,0%,1,2,Private room,1,1,1,112,$0.00 ,$0.00 ,6,22,1,38.90882543,-77.03301314,Washington,20005,DC
100%,95%,4,2,Private room,1,1,1,112,$20.00 ,$0.00 ,1,1125,23,38.91704017,-77.03626233,Washington,20009,DC
100%,100%,1,2,Private room,1,1,1,112,$0.00 ,$500.00 ,1,1125,47,38.94523973,-77.06266896,Washington,20008,DC
88%,100%,3,6,Entire home/apt,2,1,4,112,$60.00 ,$100.00 ,2,90,3,38.97480323,-77.02035415,Washington,20012,DC
70%,92%,1,4,Entire home/apt,1,1,1,112,$50.00 ,$0.00 ,2,1125,53,38.91066701,-77.00808823,Washington,20002,DC
96%,90%,4,5,Entire home/apt,1,1,3,113,$50.00 ,$100.00 ,1,1125,0,38.90191591,-76.9881605,Washington,20002,DC
100%,80%,2,2,Entire home/apt,0,1,1,113,$100.00 ,"$2,300.00 ",7,1125,2,38.91383281,-77.04208685,Washington,20009,DC
100%,100%,4,6,Entire home/apt,1,1,4,113,$75.00 ,$0.00 ,1,365,237,38.92827751,-77.07638063,Washington,20007,DC
100%,100%,1,4,Entire home/apt,1,1,2,114,$0.00 ,$0.00 ,3,1125,18,38.90865111,-77.0881346,Washington,20007,DC
100%,100%,4,5,Private room,1,1.5,2,114,$30.00 ,$149.00 ,1,1125,21,38.88240781,-77.01878489,Washington,20024,DC
0%,0%,1,4,Entire home/apt,0,1,1,114,$0.00 ,$0.00 ,2,3,0,38.90469381,-77.00700957,Washington,20002,DC
0%,0%,1,4,Entire home/apt,2,2,2,114,$0.00 ,$500.00 ,4,1125,2,38.9316389,-77.03957966,Washington,20010,DC
100%,86%,1,4,Entire home/apt,1,1,2,114,$35.00 ,$250.00 ,1,1125,1,38.92390512,-77.0281,Washington,20009,DC
100%,50%,1,2,Private room,1,1,1,114,$30.00 ,$150.00 ,2,65,12,38.88742429,-76.99704106,Washington,20003,DC
100%,100%,1,3,Entire home/apt,1,1,1,114,$50.00 ,,2,90,4,38.88471929,-77.00000514,Washington,20003,DC
100%,0%,1,2,Entire home/apt,0,1,1,115,$0.00 ,$0.00 ,1,1125,0,38.89866949,-77.01474773,Washington,20001,DC
100%,100%,1,2,Private room,1,1,1,115,$0.00 ,$0.00 ,1,5,10,38.89999306,-77.05475829,Washington,20037,DC
100%,100%,2,3,Entire home/apt,0,1,2,115,$60.00 ,$0.00 ,2,1125,63,38.90222043,-77.05480292,Washington,20037,DC
100%,40%,1,2,Entire home/apt,0,1,1,115,$30.00 ,$300.00 ,2,26,4,38.89569259,-77.04625499,Washington,20006,DC
100%,70%,4,2,Entire home/apt,0,1,1,115,$50.00 ,$0.00 ,1,1125,63,38.90091059,-77.05182531,Washington,20037,DC
0%,0%,1,2,Entire home/apt,1,1,1,115,$20.00 ,$0.00 ,1,1125,1,38.90967716,-77.02168333,Washington,20001,DC
100%,82%,1,2,Entire home/apt,0,1,1,115,$0.00 ,$0.00 ,3,14,72,38.90729541,-77.03455481,Washington,20005,DC
90%,100%,1,3,Entire home/apt,1,1,1,115,$50.00 ,$0.00 ,7,1125,11,38.90696142,-77.02670722,Washington,20001,DC
100%,100%,1,4,Entire home/apt,1,1,1,115,$30.00 ,$0.00 ,2,29,49,38.91189246,-77.02133759,Washington,20001,DC
100%,100%,1,2,Entire home/apt,0,1,1,115,$50.00 ,$0.00 ,3,365,41,38.90972748,-77.02043989,Washington,20001,DC
80%,0%,3,1,Private room,1,1,1,115,$50.00 ,$250.00 ,4,1125,0,38.91014763,-77.08676548,Washington,20007,DC
99%,89%,25,5,Entire home/apt,0,1,1,115,$85.00 ,$300.00 ,3,1125,15,38.90707678,-77.07991414,Washington,20007,DC
20%,0%,1,2,Entire home/apt,2,1,2,115,$75.00 ,$0.00 ,1,1125,4,38.90450111,-76.97537357,Washington,20002,DC
100%,100%,1,2,Entire home/apt,1,1,2,115,$60.00 ,$0.00 ,5,1125,0,38.90974663,-77.05399519,Washington,20007,DC
100%,100%,5,2,Private room,1,2.5,1,115,$50.00 ,$0.00 ,4,1125,3,38.91354008,-77.03996316,Washington,20009,DC
0%,0%,1,3,Entire home/apt,1,1,1,115,$35.00 ,$0.00 ,2,1125,17,38.91423356,-77.04211638,Washington,20009,DC
100%,96%,1,2,Entire home/apt,0,1,1,115,$50.00 ,$200.00 ,3,25,44,38.909826,-77.03518733,Washington,20005,DC
0%,0%,1,3,Entire home/apt,0,1,1,115,$0.00 ,$0.00 ,1,1125,0,38.90738218,-77.03507518,Washington,20005,DC
36%,100%,3,2,Entire home/apt,1,1,1,115,$40.00 ,$0.00 ,30,180,28,38.91041857,-77.03766523,Washington,20036,DC
90%,100%,1,2,Entire home/apt,0,1,1,115,$55.00 ,$100.00 ,2,30,59,38.91412159,-77.03751956,Washington,20009,DC
100%,70%,4,4,Entire home/apt,1,1,1,115,$50.00 ,$0.00 ,180,1125,11,38.90903969,-77.03929959,Washington,20036,DC
100%,100%,1,2,Entire home/apt,1,1,1,115,$60.00 ,$500.00 ,1,90,2,38.91975462,-77.03275814,Washington,20009,DC
100%,100%,1,2,Private room,1,1,1,115,$20.00 ,$95.00 ,1,1125,14,38.91540697,-77.03417631,Washington,20009,DC
100%,100%,1,2,Private room,1,1,1,115,$0.00 ,$0.00 ,2,25,31,38.94443304,-77.02179048,Washington,20011,DC
80%,100%,1,3,Entire home/apt,1,1,1,115,$25.00 ,$0.00 ,2,10,19,38.93659335,-77.02488041,Washington,20010,DC
0%,0%,2,2,Entire home/apt,0,1,1,115,$0.00 ,$0.00 ,1,1125,0,38.95939122,-77.07037523,Washington,20015,DC
100%,100%,1,4,Entire home/apt,1,1,2,115,$50.00 ,$100.00 ,1,1125,2,38.89770195,-76.99538919,Washington,20002,DC
53%,92%,1,5,Entire home/apt,1,1,1,115,$50.00 ,$0.00 ,1,3,43,38.89329541,-76.99713886,Washington,20002,DC
100%,88%,1,2,Entire home/apt,1,1,0,115,$20.00 ,$0.00 ,2,1125,9,38.89210464,-76.99698174,Washington,20002,DC
100%,100%,1,5,Entire home/apt,1,1,2,115,$25.00 ,$0.00 ,1,14,37,38.89412755,-76.97856389,Washington,20002,DC
91%,100%,1,3,Entire home/apt,1,1,1,115,$50.00 ,$100.00 ,2,7,15,38.90594503,-77.0045743,Washington,20002,DC
97%,100%,8,4,Entire home/apt,1,1,2,115,$55.00 ,$200.00 ,4,1125,6,38.92635515,-77.04201559,Washington,20009,DC
100%,100%,1,3,Entire home/apt,0,1,2,115,$50.00 ,$0.00 ,2,7,20,38.92018267,-77.04680684,Washington,20009,DC
0%,0%,1,3,Entire home/apt,0,1,1,115,$0.00 ,$0.00 ,1,1125,0,38.92707389,-77.03793637,Washington,20009,DC
100%,94%,7,2,Entire home/apt,1,1,1,115,$50.00 ,$0.00 ,1,1125,37,38.91531547,-77.04661916,Washington,20008,DC
0%,0%,1,2,Entire home/apt,1,1,1,115,$0.00 ,$0.00 ,2,1125,4,38.92040051,-77.03841906,Washington,20009,DC
100%,100%,1,3,Entire home/apt,1,1,1,115,$15.00 ,$0.00 ,2,1125,0,38.91790722,-77.04331667,Washington,20009,DC
100%,98%,1,2,Entire home/apt,0,1,1,115,$10.00 ,$105.00 ,1,1125,30,38.91664095,-77.04728535,Washington,20008,DC
0%,0%,2,2,Private room,1,1,1,115,$0.00 ,$0.00 ,1,1125,1,38.9325972,-77.01797456,Washington,20010,DC
100%,100%,1,4,Entire home/apt,1,1,2,115,$40.00 ,$200.00 ,2,90,59,38.91038715,-77.00688244,Washington,20002,DC
100%,100%,1,6,Entire home/apt,2,1,3,115,$50.00 ,$115.00 ,1,180,24,38.92015814,-77.01325509,Washington,20001,DC
90%,97%,1,2,Entire home/apt,0,1,1,115,$0.00 ,$115.00 ,1,1125,92,38.91434309,-77.00895005,Washington,20001,DC
100%,100%,1,2,Entire home/apt,0,1,1,115,$0.00 ,$0.00 ,1,1125,30,38.91382584,-76.99339613,Washington,20003,DC
100%,100%,1,3,Entire home/apt,1,1,2,115,$25.00 ,$0.00 ,2,1125,2,38.92966137,-77.02732969,Washington,20010,DC
91%,100%,1,2,Entire home/apt,1,1,2,115,$50.00 ,$150.00 ,1,1125,3,38.93191054,-77.03472319,Washington,20010,DC
90%,100%,3,2,Private room,1,1,1,115,$0.00 ,$0.00 ,2,1125,6,38.9274788,-77.02309777,Washington,20001,DC
100%,96%,1,2,Entire home/apt,1,1,1,115,$45.00 ,$0.00 ,1,1125,14,38.93174262,-77.02349025,Washington,20010,DC
100%,100%,1,2,Entire home/apt,0,1,1,115,$40.00 ,$100.00 ,3,1125,9,38.92786728,-77.04100461,"Washington, D.C.",20009,DC
100%,63%,1,2,Entire home/apt,1,1,1,115,$75.00 ,$150.00 ,2,1125,2,38.93279428,-77.03324074,Washington,20010,DC
100%,100%,1,4,Entire home/apt,1,1,1,115,$40.00 ,$0.00 ,1,1125,13,38.92731091,-77.04206782,Washington,20009,DC
90%,60%,1,3,Entire home/apt,1,1,1,115,$0.00 ,$0.00 ,1,4,6,38.92839059,-77.03270145,Washington,20010,DC
80%,55%,5,2,Private room,1,1,1,115,$0.00 ,$0.00 ,1,1125,0,38.93426332,-77.02679653,Washington,20010,DC
0%,0%,1,4,Entire home/apt,1,1,2,115,$100.00 ,$0.00 ,3,1125,0,38.91982606,-77.03555949,Washington,20009,DC
0%,0%,1,2,Entire home/apt,1,1,1,115,$30.00 ,$0.00 ,2,1125,0,38.91982846,-77.03470591,Washington,20009,DC
100%,100%,1,2,Entire home/apt,1,1,1,115,$25.00 ,$200.00 ,2,1125,3,38.92708265,-77.03682773,Washington,20009,DC
100%,100%,3,2,Entire home/apt,0,1,1,115,$50.00 ,$100.00 ,1,365,1,38.91966429,-76.98075251,Washington,20018,DC
50%,0%,1,4,Entire home/apt,1,1,1,115,$100.00 ,$100.00 ,1,7,8,38.92239944,-77.07787796,Washington,20007,DC
100%,100%,1,4,Entire home/apt,1,1,1,115,$35.00 ,$500.00 ,2,1125,4,38.93445773,-77.05526684,Washington,20008,DC
100%,100%,1,2,Entire home/apt,1,1,1,115,$300.00 ,"$2,250.00 ",1,1125,0,38.93651836,-77.06234963,Washington,20008,DC
90%,33%,1,2,Entire home/apt,0,1,1,115,,,1,1125,3,38.92553223,-77.05472249,Washington,20008,DC
100%,100%,3,4,Entire home/apt,1,1,2,115,$120.00 ,,3,1125,7,38.93839942,-77.06676024,Washington,20008,DC
100%,91%,1,4,Entire home/apt,1,1,2,115,$45.00 ,$200.00 ,3,60,63,38.89014868,-76.98682582,Washington,20003,DC
,,1,2,Private room,1,2.5,1,115,,,6,14,5,38.88175588,-77.00469317,Washington,20003,DC
100%,100%,1,4,Entire home/apt,1,1,1,115,,,1,29,100,38.88005715,-76.98165468,Washington,20003,DC
100%,100%,2,6,Entire home/apt,2,2.5,2,115,$150.00 ,$650.00 ,21,1000,1,38.87886059,-76.98246356,Washington,20003,DC
100%,100%,2,2,Entire home/apt,1,1,1,115,,$115.00 ,2,1125,1,38.88508066,-76.99486385,Washington,20003,DC
100%,100%,2,2,Entire home/apt,0,1,1,115,$40.00 ,$100.00 ,2,1125,47,38.88610922,-76.99490431,Washington,20003,DC
100%,100%,1,2,Private room,1,1,1,115,,,2,1125,0,38.88573485,-76.97796157,Washington,20003,DC
100%,100%,1,4,Entire home/apt,0,1,2,116,$45.00 ,$200.00 ,1,3,25,38.89644825,-77.04712776,Washington,20006,DC
100%,100%,1,1,Entire home/apt,0,1,1,116,$0.00 ,$0.00 ,1,1125,5,38.91126849,-77.03639078,Washington,20009,DC
0%,0%,1,5,Entire home/apt,1,1,2,117,$50.00 ,$0.00 ,6,1125,6,38.90642773,-77.02500999,Washington,20001,DC
91%,100%,1,6,Entire home/apt,2,1.5,4,117,$30.00 ,$0.00 ,1,1125,1,38.8610343,-76.99183312,Washington,20020,DC
70%,100%,1,3,Entire home/apt,1,1,1,117,$60.00 ,$100.00 ,2,4,6,38.90459143,-77.00740425,Washington,20002,DC
0%,0%,1,3,Entire home/apt,1,1,1,117,$50.00 ,$220.00 ,1,1125,3,38.92546227,-77.04089964,Washington,20009,DC
99%,98%,222,2,Entire home/apt,1,1,1,117,$95.00 ,$400.00 ,3,1125,5,38.91662098,-77.04731089,Washington,20009,DC
100%,33%,1,2,Private room,1,1.5,1,117,$25.00 ,$250.00 ,1,1125,1,38.91512072,-77.00904817,Washington,20002,DC
83%,0%,1,4,Entire home/apt,1,1,1,117,$20.00 ,$214.00 ,4,60,15,38.93159147,-77.041687,Washington,20010,DC
89%,97%,6,4,Entire home/apt,0,1,2,118,$25.00 ,$0.00 ,1,1125,5,38.89624712,-77.04598745,Washington,20006,DC
80%,79%,1,4,Entire home/apt,0,1,2,118,$35.00 ,$95.00 ,1,14,28,38.90663451,-77.0323012,Washington,20005,DC
100%,50%,1,2,Entire home/apt,1,1,1,118,$60.00 ,$200.00 ,5,24,0,38.90473383,-77.0658491,Washington,20007,DC
100%,100%,1,2,Private room,1,1,1,118,$0.00 ,$0.00 ,12,1125,10,38.89732262,-77.00028731,Washington,20002,DC
94%,71%,4,4,Entire home/apt,1,0,1,118,$100.00 ,$300.00 ,3,365,25,38.92535063,-77.04075142,Washington,20009,DC
100%,100%,1,2,Entire home/apt,1,1,1,118,$50.00 ,$200.00 ,2,1125,9,38.91420056,-77.01085365,Washington,20001,DC
100%,94%,5,2,Private room,1,2.5,1,118,$0.00 ,$0.00 ,2,730,206,38.93091946,-77.04033198,Washington,20010,DC
100%,0%,1,4,Entire home/apt,1,1,2,118,$80.00 ,$500.00 ,3,1125,0,38.890907,-76.99376303,Washington,20002,DC
100%,100%,1,4,Entire home/apt,1,1,2,119,$0.00 ,$0.00 ,1,20,0,38.90482723,-77.02685647,Washington,20005,DC
100%,100%,1,3,Entire home/apt,1,1,2,119,$0.00 ,$99.00 ,5,1125,3,38.90198328,-77.01483746,Washington,20001,DC
100%,100%,1,4,Entire home/apt,1,1,2,119,$50.00 ,$150.00 ,3,1125,1,38.91403575,-77.03368625,Washington,20009,DC
100%,100%,1,2,Entire home/apt,1,1,1,119,$50.00 ,$150.00 ,2,1125,1,38.90750441,-77.03326317,Washington,20005,DC
98%,79%,6,6,Entire home/apt,1,2,3,119,$40.00 ,$0.00 ,1,1125,0,38.90646942,-77.0333298,Washington,20005,DC
100%,0%,1,3,Entire home/apt,1,1,1,119,$15.00 ,$130.00 ,1,4,11,38.91592001,-77.04227874,Washington,20009,DC
100%,85%,4,4,Entire home/apt,1,1,2,119,$75.00 ,$150.00 ,1,1125,1,38.91589896,-77.04221307,Washington,20009,DC
86%,100%,1,2,Entire home/apt,1,1,1,119,$50.00 ,$0.00 ,1,1125,10,38.9145884,-77.03675428,Washington,20009,DC
0%,0%,1,5,Entire home/apt,2,1,2,119,$35.00 ,$0.00 ,3,30,86,38.9204019,-77.01531747,Washington,20001,DC
100%,100%,1,2,Entire home/apt,0,1,1,119,$70.00 ,$0.00 ,1,1125,40,38.91442666,-77.03416998,Washington,20009,DC
100%,88%,1,2,Entire home/apt,1,1,1,119,$25.00 ,$0.00 ,2,1125,4,38.91804639,-77.03151044,Washington,20009,DC
90%,100%,2,2,Private room,1,1,1,119,$25.00 ,$100.00 ,2,999,21,38.87621459,-77.01747347,Washington,20024,DC
0%,0%,1,2,Entire home/apt,0,1,1,119,$20.00 ,$0.00 ,1,1125,4,38.88014414,-77.01550682,Washington,20024,DC
100%,100%,4,6,Private room,1,1.5,2,119,$30.00 ,$0.00 ,1,1125,4,38.94923674,-77.02239766,Washington,20011,DC
100%,100%,2,6,Entire home/apt,2,1,2,119,$35.00 ,$200.00 ,1,14,1,38.93605933,-77.02853687,Washington,20010,DC
100%,100%,1,3,Private room,1,1,1,119,$75.00 ,$0.00 ,1,1125,21,38.95243043,-77.07163822,Washington,20016,DC
99%,89%,25,6,Entire home/apt,2,1,3,119,$90.00 ,$0.00 ,3,1125,10,38.96714663,-77.05590461,Washington,20015,DC
99%,89%,25,4,Entire home/apt,1,1,2,119,$85.00 ,$300.00 ,3,1125,3,38.89313331,-76.99721206,Washington,20002,DC
100%,85%,4,4,Entire home/apt,1,1,2,119,$75.00 ,$150.00 ,1,1125,0,38.91594616,-77.04396749,Washington,20009,DC
80%,90%,2,4,Entire home/apt,1,1,1,119,$20.00 ,$0.00 ,3,1125,1,38.92331553,-77.03809928,Washington,20009,DC
100%,71%,2,3,Entire home/apt,1,1,1,119,$50.00 ,$300.00 ,1,1125,0,38.92353284,-77.04413379,Washington,20009,DC
100%,0%,1,2,Private room,1,1,1,119,$25.00 ,$0.00 ,1,1125,0,38.92105566,-77.03997446,Washington,20009,DC
96%,82%,2,4,Entire home/apt,1,1,2,119,$0.00 ,$0.00 ,1,1125,4,38.91173292,-77.00447224,Washington,20002,DC
100%,100%,2,6,Entire home/apt,0,1,1,119,$35.00 ,$200.00 ,1,30,161,38.92525529,-77.02758261,Washington,20009,DC
99%,89%,25,5,Entire home/apt,2,1,3,119,$90.00 ,$300.00 ,3,1125,10,38.93395005,-77.03074527,Washington,20010,DC
100%,75%,3,2,Private room,1,1,1,119,$50.00 ,$200.00 ,4,14,3,38.92631873,-77.02320894,Washington,20001,DC
100%,100%,2,4,Entire home/apt,1,1,2,119,$75.00 ,$0.00 ,1,1125,38,38.92947167,-77.02857632,Washington,20010,DC
90%,85%,1,4,Entire home/apt,1,1,3,119,$60.00 ,$500.00 ,2,300,52,38.93368394,-77.03854166,Washington,20010,DC
78%,100%,1,4,Entire home/apt,1,1,2,119,$50.00 ,$0.00 ,1,3,1,38.92940736,-77.0333314,Washington,20010,DC
100%,100%,1,2,Entire home/apt,1,1.5,1,119,$0.00 ,$0.00 ,1,730,25,38.92467124,-77.03209925,Washington,20009,DC
100%,100%,1,5,Entire home/apt,2,1,3,119,$50.00 ,$0.00 ,2,21,78,38.92659358,-76.97658413,Washington,20018,DC
100%,67%,1,4,Entire home/apt,1,1,2,119,,,14,21,1,38.93660322,-77.06293422,Washington,20008,DC
100%,100%,1,3,Entire home/apt,1,1,1,119,$150.00 ,,1,1125,3,38.8876832,-76.98753353,Washington,20003,DC
33%,100%,1,2,Entire home/apt,1,1,1,120,$0.00 ,$0.00 ,1,1125,0,38.87861844,-77.00598247,Washington,20003,DC
100%,100%,1,2,Private room,1,1,1,120,$0.00 ,$0.00 ,2,1125,8,38.87407493,-77.0023063,Washington,20003,DC
0%,0%,1,2,Private room,1,1,1,120,$0.00 ,$0.00 ,1,1125,0,38.90481354,-77.02584423,"Washington, D.C.",20001,DC
70%,57%,2,4,Entire home/apt,2,2,2,120,$100.00 ,$500.00 ,1,1125,3,38.90531783,-77.01514668,Washington,20001,DC
100%,69%,1,3,Entire home/apt,1,1,1,120,$50.00 ,$0.00 ,1,1125,3,38.90301688,-77.01858684,Washington,20001,DC
100%,50%,1,2,Entire home/apt,1,1,1,120,$30.00 ,$100.00 ,2,1125,1,38.90399082,-77.0173688,Washington,20001,DC
100%,100%,1,4,Entire home/apt,1,1,2,120,$65.00 ,$140.00 ,3,20,3,38.90499994,-77.0295595,Washington,20005,DC
0%,0%,1,1,Private room,1,1,1,120,$0.00 ,$0.00 ,2,3,0,38.90011601,-77.0167308,Washington,20001,DC
100%,0%,2,2,Entire home/apt,1,1,1,120,$100.00 ,"$1,000.00 ",7,365,1,38.90076227,-77.01638778,Washington,20001,DC
100%,100%,1,2,Entire home/apt,1,1,1,120,$0.00 ,$150.00 ,4,1125,1,38.90305069,-77.01624454,Washington,20001,DC
100%,89%,1,3,Entire home/apt,1,1,1,120,$0.00 ,$0.00 ,1,1125,3,38.90541662,-77.02662326,Washington,20001,DC
100%,100%,1,2,Entire home/apt,0,1,1,120,$60.00 ,$0.00 ,1,1125,6,38.90147883,-77.05363783,Washington,20037,DC
100%,100%,1,2,Entire home/apt,1,1,1,120,$50.00 ,$0.00 ,1,10,0,38.90338367,-77.05424167,Washington,20037,DC
93%,80%,2,2,Private room,1,1.5,1,120,$0.00 ,$0.00 ,1,1125,13,38.91404957,-77.0244446,Washington,20001,DC
90%,89%,1,4,Entire home/apt,0,1,2,120,$50.00 ,$250.00 ,1,1125,9,38.90775278,-77.03067213,Washington,20005,DC
0%,100%,1,4,Entire home/apt,2,1.5,2,120,$0.00 ,$0.00 ,1,5,3,38.90615825,-77.01791263,Washington,20001,DC
100%,100%,1,4,Entire home/apt,1,1,1,120,$25.00 ,$0.00 ,2,4,20,38.91245914,-77.02075693,Washington,20001,DC
100%,100%,1,2,Entire home/apt,0,1,1,120,$30.00 ,$0.00 ,1,31,89,38.90975787,-77.02950704,Washington,20005,DC
92%,100%,4,4,Entire home/apt,1,1,2,120,$40.00 ,$0.00 ,2,1125,85,38.91304133,-77.01949157,Washington,20001,DC
100%,100%,1,2,Shared room,1,1,1,120,$0.00 ,$0.00 ,1,1125,3,38.90733919,-77.03325183,Washington,20005,DC
100%,99%,4,2,Entire home/apt,1,1,1,120,$15.00 ,$0.00 ,1,1125,133,38.91084691,-77.03031295,Washington,20005,DC
100%,100%,1,2,Entire home/apt,1,1,1,120,$40.00 ,$100.00 ,1,14,15,38.90808866,-77.02390737,Washington,20001,DC
100%,99%,4,2,Entire home/apt,0,1,1,120,$15.00 ,$0.00 ,1,1125,38,38.90827372,-77.03156698,Washington,20005,DC
100%,100%,1,5,Entire home/apt,1,1,2,120,$50.00 ,$0.00 ,1,1125,2,38.91160124,-77.02265354,Washington,20001,DC
0%,0%,1,2,Private room,1,1,2,120,$30.00 ,$0.00 ,1,1125,1,38.90987734,-77.08078886,Washington,20007,DC
84%,100%,2,2,Private room,1,1,1,120,$30.00 ,$100.00 ,2,15,8,38.90239901,-76.98619349,Washington,20002,DC
50%,57%,1,2,Entire home/apt,1,1,1,120,$0.00 ,$0.00 ,3,16,19,38.90046283,-76.9800911,Washington,20002,DC
50%,100%,1,2,Entire home/apt,0,1,1,120,$30.00 ,"$1,000.00 ",1,1125,23,38.9115871,-77.06707399,Washington,20007,DC
